pair,doc_mix,best_endpoint_ndcg,best_mixed_ndcg,delta_ndcg,lambda_star_mid,delta_ndcg_ci90_low,delta_ndcg_ci90_high,delta_ndcg_ci95_low,delta_ndcg_ci95_high,lang_a,lang_b,script_match,family_dist,typology_dist,resource_pattern,lang2vec_knn,gram_bank,script,glot_tree,doc_type,doc_regime
IT-DE,DE docs,27.7748,28.8106,1.0358000000000018,70.0,0.5539766321280599,1.5226116261831122,0.4643477304594195,1.6230552372202713,it,de,match,1,1,L-H,0.2167861344317558,-1.0,0.0,0.8257575757575757,mono,L2 docs
IT-DE,IT + DE docs,28.9927,30.5628,1.5701,30.0,1.042701365250681,2.0516059403842224,0.9472434045356326,2.149272324582786,it,de,match,1,1,L-H,0.2167861344317558,-1.0,0.0,0.8257575757575757,bi,L1+L2 docs
IT-DE,IT docs,28.9647,30.1702,1.2055000000000007,30.0,0.7175400383260577,1.6944921949321288,0.6255799396736228,1.7945191551629809,it,de,match,1,1,L-H,0.2167861344317558,-1.0,0.0,0.8257575757575757,mono,L1 docs
IT-HI,HI docs,26.7959,27.4666,0.6707000000000001,70.0,0.20917269134500957,1.2119473145854742,0.13133626972928208,1.311597538474406,it,hi,mismatch,1,1,L-L,0.3332544238619477,0.5173748811807234,0.5,0.8257575757575757,mono,L2 docs
IT-HI,IT + HI docs,29.1116,30.023,0.9114000000000004,30.0,0.4643746790432882,1.7082992474712626,0.3879227491333281,1.8527830452440677,it,hi,mismatch,1,1,L-L,0.3332544238619477,0.5173748811807234,0.5,0.8257575757575757,bi,L1+L2 docs
IT-HI,IT docs,28.9647,29.6107,0.6460000000000008,30.0,0.3116262953211857,1.1639261216764734,0.24827892032236507,1.2659533095153275,it,hi,mismatch,1,1,L-L,0.3332544238619477,0.5173748811807234,0.5,0.8257575757575757,mono,L1 docs
IT-ID,ID docs,28.4534,28.969,0.5156000000000027,70.0,0.1456588589675967,0.969580858046594,0.08714080098146057,1.050795171739537,it,id,match,1,1,L-L,0.2465894250431822,0.4264014327112209,0.0,1.0,mono,L2 docs
IT-ID,IT + ID docs,29.1564,30.1328,0.9763999999999982,50.0,0.37802635325681067,1.506817693957387,0.2942955210036796,1.637359184060692,it,id,match,1,1,L-L,0.2465894250431822,0.4264014327112209,0.0,1.0,bi,L1+L2 docs
IT-ID,IT docs,28.9647,29.5294,0.5646999999999984,30.0,0.25542648255119715,1.1564034071572158,0.20148974362564973,1.2739375076644095,it,id,match,1,1,L-L,0.2465894250431822,0.4264014327112209,0.0,1.0,mono,L1 docs
IT-JA,IT + JA docs,29.0058,30.0469,1.0411000000000001,30.0,0.4841936335412932,1.6077388494671,0.39258684948858164,1.7226779729980042,it,ja,mismatch,1,1,L-H,0.4252887140476908,0.5988203892536214,0.5,1.0,bi,L1+L2 docs
IT-JA,IT docs,28.9647,29.7084,0.7437000000000005,30.0,0.33478770438093264,1.2233157352978956,0.2709794078075144,1.3100679433552391,it,ja,mismatch,1,1,L-H,0.4252887140476908,0.5988203892536214,0.5,1.0,mono,L1 docs
IT-JA,JA docs,27.2089,27.6133,0.404399999999999,90.0,0.15278068701698316,0.9309234932072945,0.09286506773430983,1.0303226227341533,it,ja,mismatch,1,1,L-H,0.4252887140476908,0.5988203892536214,0.5,1.0,mono,L2 docs
IT-NL,IT + NL docs,29.0953,30.3033,1.2079999999999984,30.0,0.6596049672617137,1.6844238831104397,0.5690878447475446,1.779470573199078,it,nl,match,1,1,L-L,0.178152751155727,0.4605661864718383,0.0,0.8090909090909091,bi,L1+L2 docs
IT-NL,IT docs,28.9647,30.1279,1.1631999999999998,30.0,0.6892213893349732,1.6944250983686546,0.6034068687325835,1.8104031472908315,it,nl,match,1,1,L-L,0.178152751155727,0.4605661864718383,0.0,0.8090909090909091,mono,L1 docs
IT-NL,NL docs,28.7171,29.3862,0.6691000000000003,50.0,0.43469893139810056,1.3442076221771053,0.3895586465581908,1.468614315662997,it,nl,match,1,1,L-L,0.178152751155727,0.4605661864718383,0.0,0.8090909090909091,mono,L2 docs
IT-PT,IT + PT docs,29.2249,30.6428,1.4178999999999995,50.0,0.8618604878000748,1.8952550797612377,0.7663438022272933,2.00140900706795,it,pt,match,0,0,L-L,0.0922318235359002,0.2357022603955158,0.0,0.3863636363636363,bi,L1+L2 docs
IT-PT,IT docs,28.9647,30.0835,1.1188000000000002,30.0,0.7056205904053118,1.5811295278312287,0.6236535157773091,1.665113023730881,it,pt,match,0,0,L-L,0.0922318235359002,0.2357022603955158,0.0,0.3863636363636363,mono,L1 docs
IT-PT,PT docs,28.7125,29.7975,1.0850000000000009,50.0,0.6010414758589517,1.7350725800367053,0.5113591906914638,1.8633248443958375,it,pt,match,0,0,L-L,0.0922318235359002,0.2357022603955158,0.0,0.3863636363636363,mono,L2 docs
IT-RU,IT + RU docs,29.1677,30.117,0.9493000000000009,30.0,0.5018966144361157,1.5636582590848738,0.4307208813814973,1.6918521455284876,it,ru,mismatch,1,0,L-L,0.1838541304777274,0.5173748811807234,1.0,0.7424242424242424,bi,L1+L2 docs
