pair,doc_mix,method,mix_ratio,ndcg10,ndcg10_std,ndcg10_stderr,ndcg10_ci90_low,ndcg10_ci90_high,ndcg10_ci95_low,ndcg10_ci95_high,mrr10,r10,model,source_file
AR-RU,AR docs,embed,50.0,25.7558,35.2898,0.9161,24.248,27.2635,23.9588,27.5527,21.5287,40.4481,bge-m3,mmarco-8841823-arabic-ar-ru-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20260206-171050-agg.csv
AR-RU,AR docs,embed,70.0,23.9112,34.3488,0.8917,22.4436,25.3787,22.1622,25.6602,19.7948,38.2918,bge-m3,mmarco-8841823-arabic-ar-ru-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20260206-171109-agg.csv
AR-RU,AR docs,embed,90.0,20.2141,32.6548,0.8477,18.8189,21.6093,18.5513,21.8769,16.6551,32.5977,bge-m3,mmarco-8841823-arabic-ar-ru-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20260206-171125-agg.csv
AR-RU,AR docs,embed,100.0,18.2549,31.3728,0.8144,16.9145,19.5953,16.6575,19.8524,14.9507,29.9697,bge-m3,mmarco-8841823-arabic-ar-ru-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20260206-171143-agg.csv
AR-RU,RU docs,embed,0.0,16.7561,30.6092,0.7946,15.4484,18.0639,15.1975,18.3147,13.6809,27.3416,bge-m3,mmarco-8841823-russian-ar-ru-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20260206-171412-agg.csv
AR-RU,RU docs,embed,10.0,19.1863,32.3914,0.8408,17.8024,20.5703,17.537,20.8357,15.8588,30.6772,bge-m3,mmarco-8841823-russian-ar-ru-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20260206-171431-agg.csv
AR-RU,RU docs,embed,30.0,24.1084,34.5684,0.8973,22.6315,25.5854,22.3482,25.8686,19.8275,38.6512,bge-m3,mmarco-8841823-russian-ar-ru-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20260206-171445-agg.csv
AR-RU,RU docs,embed,50.0,27.0542,35.6499,0.9254,25.5311,28.5774,25.2389,28.8695,22.3492,42.9189,bge-m3,mmarco-8841823-russian-ar-ru-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20260206-171454-agg.csv
AR-RU,RU docs,embed,70.0,27.7985,36.023,0.9351,26.2594,29.3376,25.9642,29.6328,23.0477,43.7949,bge-m3,mmarco-8841823-russian-ar-ru-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20260206-171504-agg.csv
AR-RU,RU docs,embed,90.0,27.4784,35.6137,0.9245,25.9568,29.0,25.665,29.2918,22.5582,43.9971,bge-m3,mmarco-8841823-russian-ar-ru-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20260206-171512-agg.csv
AR-RU,RU docs,embed,100.0,27.1639,35.4693,0.9207,25.6485,28.6794,25.3579,28.97,22.2174,43.7275,bge-m3,mmarco-8841823-russian-ar-ru-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20260206-171521-agg.csv
AR-VI,AR + VI docs,embed,0.0,24.8101,34.7519,0.9021,23.3253,26.2949,23.0405,26.5797,20.6018,39.4598,bge-m3,mmarco-8841823-bilingual-ar-vi-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20260202-224905-agg.csv
