qid,band,r_between_0_1,r,delta,delta_rel,p,d_axis,alpha,residual_norm,r2_local,cos_en,cos_zh,en_tokens,zh_tokens,cm_tokens,en_han,en_latin,zh_han,zh_latin,cm_han,cm_latin
667535,20-40,True,0.7190558608877475,0.40454620122909546,0.51389486307157,0.5660521984100342,0.7872158885002136,0.28094417527997767,0.40454620122909546,0.23010381747304698,0.7579636573791504,0.8937144875526428,11,13,12,0,48,16,0,3,36
272500,20-40,True,0.9281396158492229,0.20906981825828552,0.32043559792645804,0.6055693626403809,0.6524550318717957,0.07186028952593244,0.20906981825828552,0.04788347186489794,0.7947878837585449,0.9770459532737732,9,10,13,0,32,11,0,4,23
1095845,20-40,True,0.23844985330115798,0.23535487055778503,0.4284430283320615,0.13098669052124023,0.5493259429931641,0.7615501921859301,0.23535487055778503,0.7595833328484101,0.9637253880500793,0.8848003149032593,12,11,14,0,43,14,0,5,32
1084624,20-40,True,0.0887466711512393,0.19171184301376343,0.26017566841047585,0.06539346277713776,0.7368553876876831,0.9112532724840844,0.19171184301376343,0.9246260485362473,0.9794851541519165,0.7561928033828735,11,9,14,0,29,10,0,4,20
632455,20-40,True,0.07149183894018017,0.22848422825336456,0.255088301682102,0.06403569877147675,0.8957064151763916,0.9285081520382473,0.22848422825336456,0.9298207244101666,0.9718472957611084,0.6280595064163208,10,9,12,0,36,12,0,5,28
323154,20-40,True,0.52933262172121,0.2917079031467438,0.9177783261946341,0.16824379563331604,0.3178413510322571,0.4706673985739755,0.2917079031467438,0.2082333181222339,0.9433002471923828,0.9462635517120361,9,8,7,0,30,11,0,3,9
1034703,20-40,True,0.05561378506136541,0.20878417789936066,0.2248261918782245,0.05164557695388794,0.9286470413208008,0.9443862756312453,0.20878419280052185,0.946364419683026,0.9768710136413574,0.5936387777328491,11,9,11,0,32,13,0,6,17
1087129,20-40,True,0.6425916635369636,0.20808379352092743,0.5167994736460741,0.2587326765060425,0.40263932943344116,0.357408288772806,0.20808379352092743,0.32353963334017144,0.9448792934417725,0.9679960012435913,11,7,11,0,39,12,0,4,24
440098,20-40,True,0.10486966314377948,0.15484458208084106,0.3484297224033595,0.04660480469465256,0.4444069266319275,0.8951302694752326,0.15484459698200226,0.8684205667116488,0.9869256019592285,0.9088884592056274,8,8,10,0,35,12,0,5,25
1101961,20-40,True,0.06038191098574704,0.1839601695537567,0.27896342772323185,0.03981836140155792,0.6594418883323669,0.939618136462074,0.18396015465259552,0.9189961794994151,0.9822866320610046,0.7911127805709839,15,11,17,0,47,15,0,6,34
275997,20-40,True,0.90456490003267,0.26124340295791626,0.32250147898041487,0.7327458262443542,0.8100533485412598,0.09543503617637272,0.26124340295791626,0.08051853635705519,0.6974177956581116,0.9628877639770508,10,9,10,0,31,11,0,4,20
1065227,20-40,True,0.3307473553559861,0.4062466025352478,0.45493430482948477,0.2953503131866455,0.8929786086082458,0.6692525892426209,0.4062465727329254,0.6839570874260397,0.873866081237793,0.7389021515846252,9,11,12,0,31,13,0,4,22
1086942,20-40,True,0.9481089935551538,0.29965171217918396,0.45020445515333796,0.6310521364212036,0.6655902862548828,0.051890857507742034,0.29965171217918396,0.013110899194112458,0.7559909820556641,0.9545080661773682,10,8,10,0,37,11,0,4,14
1086915,20-40,True,0.6596207566320588,0.383549302816391,0.544960846409515,0.4642481803894043,0.7038107514381409,0.34037920546406647,0.383549302816391,0.28063625747280296,0.8186818361282349,0.8977499604225159,15,12,14,0,50,18,0,5,31
567895,20-40,True,0.5381834855280047,0.6116845011711121,0.9372573943617382,0.351235955953598,0.6526323556900024,0.46181651220286646,0.6116845011711121,0.19535535265347015,0.7512378096580505,0.7675012946128845,15,9,8,0,45,11,0,3,13
1063177,20-40,True,0.03600040207827704,0.12771010398864746,0.20050060114028026,0.022930679842829704,0.6369562149047852,0.9639995692503517,0.12771010398864746,0.9585346303235757,0.9915821552276611,0.8033313751220703,10,13,11,0,27,15,0,3,24
